,pair,count,sample
0,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46,87175,08
1,Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72 --- Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72,53899,08
2,Silencer_tiles;ENSG00000069812;10 --- Silencer_tiles;ENSG00000069812;10,242827,08
3,Random_control;;;124; --- Random_control;;;124;,54323,08
4,Human_KRAB_variant;M0QYP0;367 --- Human_KRAB_variant;M0QYP0;367,167087,08
5,Silencer_tiles;ENSG00000076108;118 --- Silencer_tiles;ENSG00000076108;118,191617,08
6,Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59 --- DMD_control_tiles;ENSG00000198947;;255;,1055,08
7,Silencer_tiles;ENSG00000100307;18 --- Silencer_tiles;ENSG00000100307;18,63399,08
8,Silencer_tiles;ENSG00000141644;47 --- Random_control;;;124;,10345,08
9,Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45 --- Human_KRAB_variant;M0QYP0;367,2866,08
10,Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45 --- Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45,21701,08
11,Silencer_tiles;ENSG00000111642;38 --- Silencer_tiles;ENSG00000111642;38,28448,08
12,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,50496,08
13,Random_control;;;411; --- Silencer_tiles;ENSG00000170604;0,3190,08
14,Silencer_tiles;ENSG00000084093;101 --- Silencer_tiles;ENSG00000084093;101,15277,08
15,Short_nuclear_domain;PCGF2_HUMAN;zf-C3HC4_2;1;39 --- Short_nuclear_domain;PCGF2_HUMAN;zf-C3HC4_2;1;39,8578,08
16,Random_control;;;205; --- Random_control;;;205;,107897,08
17,Silencer_tiles;ENSG00000141644;47 --- Silencer_tiles;ENSG00000141644;47,74046,08
18,Short_nuclear_domain;STAT2_HUMAN;STAT2_C;770;55 --- Short_nuclear_domain;STAT2_HUMAN;STAT2_C;770;55,26091,08
19,Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59 --- Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59,37210,08
20,Short_nuclear_domain;IKKA_HUMAN;IKKbetaNEMObind;665;36 --- Short_nuclear_domain;SMCA2_HUMAN;QLQ;150;34,2571,08
21,Silencer_tiles;ENSG00000076108;118 --- Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59,13709,08
22,Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26 --- Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26,38128,08
23,Silencer_tiles;ENSG00000179833;22 --- Human_KRAB_variant;M0QYP0;367,5245,08
24,Silencer_tiles;ENSG00000141644;47 --- Silencer_tiles;ENSG00000088305;10,9917,08
25,Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40 --- Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40,88420,08
26,Short_nuclear_domain;STAT2_HUMAN;STAT2_C;770;55 --- Silencer_tiles;ENSG00000085224;242,1970,08
27,NIZP1_C2HR --- NIZP1_C2HR,15253,08
28,Silencer_tiles;ENSG00000102974;12 --- Short_nuclear_domain;SMRC2_HUMAN;Myb_DNA-binding;580;45,3553,08
29,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Silencer_tiles;ENSG00000205571;13,2895,08
30,Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26 --- Silencer_tiles;ENSG00000069812;10,28689,08
31,Silencer_tiles;ENSG00000084093;101 --- Silencer_tiles;ENSG00000111642;38,2010,08
32,Human_KRAB_variant;Q3KP31;676 --- Human_KRAB_variant;Q3KP31;676,8492,08
33,Short_nuclear_domain;SMRC2_HUMAN;Myb_DNA-binding;580;45 --- Silencer_tiles;ENSG00000069812;10,7560,08
34,Short_nuclear_domain;MTA3_HUMAN;GATA;357;37 --- Silencer_tiles;ENSG00000179833;22,2170,08
35,Random_control;;;411; --- Random_control;;;411;,40570,08
36,Silencer_tiles;ENSG00000155090;12 --- Silencer_tiles;ENSG00000111642;38,2065,08
37,Short_nuclear_domain;APBB1_HUMAN;WW;229;28 --- Silencer_tiles;ENSG00000069812;10,7937,08
38,Silencer_tiles;ENSG00000025156;13 --- Random_control;;;297;,1178,08
39,Short_nuclear_domain;ITCH_HUMAN;WW;302;29 --- Silencer_tiles;ENSG00000111642;38,3479,08
40,DMD_control_tiles;ENSG00000198947;;131; --- Silencer_tiles;ENSG00000179833;22,1152,08
41,Silencer_tiles;ENSG00000102974;12 --- Silencer_tiles;ENSG00000102974;12,27619,08
42,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- Short_nuclear_domain;APBB1_HUMAN;WW;229;28,2260,08
43,Short_nuclear_domain;NOTC2_HUMAN;Notch;1440;34 --- DMD_control_tiles;ENSG00000198947;;131;,747,08
44,Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40 --- Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59,8126,08
45,Silencer_tiles;ENSG00000100307;18 --- Silencer_tiles;ENSG00000179833;22,4428,08
46,Silencer_tiles;ENSG00000076108;118 --- Short_nuclear_domain;SSX2_HUMAN;SSXRD;108;31,5000,08
47,Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72 --- Silencer_tiles;ENSG00000205571;13,965,08
48,Short_nuclear_domain;CHD3_HUMAN;DUF1087;1286;60 --- Silencer_tiles;ENSG00000085224;242,542,08
49,Silencer_tiles;ENSG00000170604;0 --- Random_control;;;124;,2692,08
50,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;MYBA_HUMAN;LMSTEN;223;46,4570,08
51,Silencer_tiles;ENSG00000076108;118 --- Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45,3481,08
52,DMD_control_tiles;ENSG00000198947;;357; --- Human_KRAB_variant;Q3KP31;676,2150,08
53,Short_nuclear_domain;WBP4_HUMAN;WW;139;29 --- Silencer_tiles;ENSG00000069812;10,3496,08
54,DMD_control_tiles;ENSG00000198947;;297; --- DMD_control_tiles;ENSG00000198947;;297;,19193,08
55,Silencer_tiles;ENSG00000141644;47 --- Silencer_tiles;ENSG00000205571;13,2970,08
56,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;APBB1_HUMAN;WW;229;28,9052,08
57,Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72 --- Random_control;;;297;,4120,08
58,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- Random_control;;;205;,2617,08
59,Silencer_tiles;ENSG00000069812;10 --- Random_control;;;385;,1210,08
60,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- Short_nuclear_domain;STAT2_HUMAN;STAT2_C;770;55,1573,08
61,Short_nuclear_domain;ID2_HUMAN;HLH;15;41 --- Short_nuclear_domain;WWP2_HUMAN;WW;381;28,867,08
62,Random_control;;;372; --- Silencer_tiles;ENSG00000179833;22,2875,08
63,Silencer_tiles;ENSG00000025156;13 --- Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,1755,08
64,NIZP1_KRAB --- Short_nuclear_domain;BTK_HUMAN;SH3_1;203;46,554,08
65,Random_control;;;205; --- Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59,4961,08
66,Silencer_tiles;ENSG00000100307;18 --- Short_nuclear_domain;SUMO3_HUMAN;Rad60-SLD;12;70,1614,08
67,Silencer_tiles;ENSG00000127124;78 --- Silencer_tiles;ENSG00000069812;10,8439,08
68,Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26 --- DMD_control_tiles;ENSG00000198947;;131;,2532,08
69,Short_nuclear_domain;GSX1_HUMAN;Homeodomain;136;56 --- Short_nuclear_domain;CDYL2_HUMAN;Chromo;1;50,357,08
70,Short_nuclear_domain;CREM_HUMAN;bZIP_1;265;45 --- Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72,610,08
71,Silencer_tiles;ENSG00000141644;47 --- Random_control;;;21;,10831,08
72,Short_nuclear_domain;ZN777_HUMAN;DUF3669;181;67 --- Silencer_tiles;ENSG00000111642;38,1475,08
73,Short_nuclear_domain;YAF2_HUMAN;YAF2_RYBP;78;32 --- Short_nuclear_domain;YAF2_HUMAN;YAF2_RYBP;78;32,1449,08
74,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;ZN777_HUMAN;DUF3669;181;67,6251,08
75,Short_nuclear_domain;DPY30_HUMAN;Dpy-30;19;41 --- Silencer_tiles;ENSG00000085224;242,183,08
76,Silencer_tiles;ENSG00000076108;118 --- Random_control;;;124;,16084,08
77,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- DMD_control_tiles;ENSG00000198947;;31;,2799,08
78,Silencer_tiles;ENSG00000174197;238 --- Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,983,08
79,Short_nuclear_domain;STAT2_HUMAN;STAT2_C;770;55 --- DMD_control_tiles;ENSG00000198947;;357;,4145,08
80,Silencer_tiles;ENSG00000076108;118 --- Silencer_tiles;ENSG00000069812;10,67300,08
81,Short_nuclear_domain;CREM_HUMAN;bZIP_1;265;45 --- Silencer_tiles;ENSG00000076108;118,621,08
82,Short_nuclear_domain;CBX1_HUMAN;Chromo_shadow;104;52 --- Random_control;;;124;,3059,08
83,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41,10322,08
84,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Random_control;;;410;,7009,08
85,Silencer_tiles;ENSG00000076108;118 --- Silencer_tiles;ENSG00000130706;26,16617,08
86,Short_nuclear_domain;ITCH_HUMAN;WW;302;29 --- Silencer_tiles;ENSG00000069812;10,8928,08
87,Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41 --- Silencer_tiles;ENSG00000088305;10,4631,08
88,NIZP1_KRAB --- Silencer_tiles;ENSG00000088305;10,4365,08
89,NIZP1_KRAB --- Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,6190,08
90,Silencer_tiles;ENSG00000168769;132 --- Short_nuclear_domain;WWP2_HUMAN;WW;381;28,755,08
91,Short_nuclear_domain;ZFP28_HUMAN;KRAB;209;37 --- Short_nuclear_domain;ZFP28_HUMAN;KRAB;209;37,21538,08
92,Random_control;;;257; --- Silencer_tiles;ENSG00000069812;10,32292,08
93,Human_KRAB_variant;M0QYP0;367 --- Silencer_tiles;ENSG00000141644;47,4486,08
94,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- DMD_control_tiles;ENSG00000198947;;31;,1989,08
95,DMD_control_tiles;ENSG00000198947;;176; --- Silencer_tiles;ENSG00000069812;10,2294,08
96,Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41 --- Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,1678,08
97,Silencer_tiles;ENSG00000025156;13 --- DMD_control_tiles;ENSG00000198947;;171;,385,08
98,Silencer_tiles;ENSG00000025156;13 --- Short_nuclear_domain;PCGF2_HUMAN;zf-C3HC4_2;1;39,704,08
99,Silencer_tiles;ENSG00000100307;18 --- Silencer_tiles;ENSG00000085224;242,4613,08
100,Random_control;;;124; --- Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41,4387,08
101,Silencer_tiles;ENSG00000155090;12 --- Short_nuclear_domain;ZFP28_HUMAN;KRAB;209;37,1170,08
102,Short_nuclear_domain;CBX1_HUMAN;Chromo_shadow;104;52 --- Short_nuclear_domain;ZN777_HUMAN;DUF3669;181;67,1751,08
103,NIZP1_KRAB --- Short_nuclear_domain;SCMH1_HUMAN;SAM_1;580;65,4327,08
104,Silencer_tiles;ENSG00000141644;47 --- Random_control;;;205;,11269,08
105,Short_nuclear_domain;STAT2_HUMAN;STAT2_C;770;55 --- Short_nuclear_domain;DPF1_HUMAN;Requiem_N;34;71,802,08
106,Human_KRAB_variant;Q3KP31;676 --- Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26,467,08
107,Silencer_tiles;ENSG00000130706;26 --- Random_control;;;124;,2381,08
108,Silencer_tiles;ENSG00000076108;118 --- Random_control;;;205;,22535,08
109,Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59 --- Short_nuclear_domain;CBX1_HUMAN;Chromo_shadow;104;52,590,08
110,Short_nuclear_domain;SMCA2_HUMAN;QLQ;150;34 --- Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,1793,08
111,Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26 --- Human_KRAB_variant;P21506;146,4097,08
112,NIZP1_KRAB --- Silencer_tiles;ENSG00000076108;118,5759,08
113,Silencer_tiles;ENSG00000084093;101 --- Silencer_tiles;ENSG00000174197;34,1277,08
114,Short_nuclear_domain;CBX1_HUMAN;Chromo_shadow;104;52 --- Silencer_tiles;ENSG00000069812;10,10397,08
115,Silencer_tiles;ENSG00000141644;47 --- DMD_control_tiles;ENSG00000198947;;131;,4134,08
116,Random_control;;;257; --- Silencer_tiles;ENSG00000170604;0,9173,08
117,Silencer_tiles;ENSG00000088305;10 --- Silencer_tiles;ENSG00000100307;18,1978,08
118,Silencer_tiles;ENSG00000084093;101 --- Short_nuclear_domain;APBB1_HUMAN;WW;229;28,2667,08
119,Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40 --- Random_control;;;411;,2679,08
120,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;IKKA_HUMAN;IKKbetaNEMObind;665;36,3639,08
121,Silencer_tiles;ENSG00000141644;47 --- Random_control;;;385;,4163,08
122,Silencer_tiles;ENSG00000130706;26 --- Silencer_tiles;ENSG00000170604;0,3531,08
123,Silencer_tiles;ENSG00000076108;118 --- Short_nuclear_domain;NOTC2_HUMAN;Notch;1440;34,7088,08
124,Random_control;;;257; --- Random_control;;;372;,2415,08
125,Random_control;;;89; --- DMD_control_tiles;ENSG00000198947;;31;,651,08
126,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40,11604,08
127,Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40 --- Silencer_tiles;ENSG00000111642;38,7075,08
128,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Random_control;;;124;,10587,08
129,Silencer_tiles;ENSG00000100307;18 --- Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63,4031,08
130,Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59 --- Short_nuclear_domain;KMT2B_HUMAN;zf-CXXC;941;47,96,08
131,Short_nuclear_domain;CBX1_HUMAN;Chromo_shadow;104;52 --- Short_nuclear_domain;BTK_HUMAN;SH3_1;203;46,360,08
132,Human_KRAB_variant;M0QYP0;367 --- Random_control;;;21;,11342,08
133,Silencer_tiles;ENSG00000076108;118 --- Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,16056,08
134,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- Silencer_tiles;ENSG00000170604;0,2922,08
135,Silencer_tiles;ENSG00000141644;47 --- NIZP1_C2HR,3642,08
136,Silencer_tiles;ENSG00000163602;11 --- Silencer_tiles;ENSG00000163602;11,8500,08
137,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;WWP2_HUMAN;WW;381;28,6322,08
138,Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46 --- Random_control;;;205;,945,08
139,Random_control;;;205; --- Short_nuclear_domain;PCGF2_HUMAN;zf-C3HC4_2;1;39,2705,08
140,DMD_control_tiles;ENSG00000198947;;31; --- DMD_control_tiles;ENSG00000198947;;297;,693,08
141,Short_nuclear_domain;CHD3_HUMAN;DUF1087;1286;60 --- Silencer_tiles;ENSG00000061273;33,609,08
142,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40,3847,08
143,Silencer_tiles;ENSG00000088305;10 --- Short_nuclear_domain;ID2_HUMAN;HLH;15;41,577,08
144,Short_nuclear_domain;STAT2_HUMAN;STAT2_C;770;55 --- Silencer_tiles;ENSG00000102974;12,1493,08
145,Short_nuclear_domain;IKKA_HUMAN;IKKbetaNEMObind;665;36 --- Silencer_tiles;ENSG00000141644;47,1223,08
146,Human_KRAB_variant;M0QYP0;367 --- Silencer_tiles;ENSG00000100307;18,3294,08
147,Random_control;;;89; --- Silencer_tiles;ENSG00000170604;0,2404,08
148,Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41 --- Random_control;;;21;,4356,08
149,Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59 --- Short_nuclear_domain;STAT2_HUMAN;STAT2_C;770;55,1533,08
150,Short_nuclear_domain;MYBA_HUMAN;LMSTEN;223;46 --- Random_control;;;205;,2554,08
