pair,type,enrichment_ratio_r1_d2,enrichment_ratio_r1_d5,enrichment_ratio_r1_d10,enrichment_ratio_r2_d2,enrichment_ratio_r2_d5,enrichment_ratio_r2_d10,enrichment_fraction_r1_d2,enrichment_fraction_r1_d5,enrichment_fraction_r1_d10,enrichment_fraction_r2_d2,enrichment_fraction_r2_d5,enrichment_fraction_r2_d10,bound_r1_d2,bound_r1_d5,bound_r1_d10,bound_r2_d2,bound_r2_d5,bound_r2_d10,unbound_r1_d2,unbound_r1_d5,unbound_r1_d10,unbound_r2_d2,unbound_r2_d5,unbound_r2_d10,norm_bound_r1_d2,norm_bound_r1_d5,norm_bound_r1_d10,norm_bound_r2_d2,norm_bound_r2_d5,norm_bound_r2_d10,norm_unbound_r1_d2,norm_unbound_r1_d5,norm_unbound_r1_d10,norm_unbound_r2_d2,norm_unbound_r2_d5,norm_unbound_r2_d10,avg_enrichment_d2,avg_enrichment_d5,avg_enrichment_d10,domain1,domain2,d1_Gene,d1_Pathway,d1_Description,d2_Gene,d2_Pathway,d2_Description,d1_avg_d2,d1_sd_d2,d1_avg_d5,d1_sd_d5,d1_avg_d10,d1_sd_d10,d1_description,d2_avg_d2,d2_sd_d2,d2_avg_d5,d2_sd_d5,d2_avg_d10,d2_sd_d10,d2_description,composition,character,control,hit_gene,ctrl_character,order,hit_score_d2,hit_score_d5,hit_score_d10
DMD_control_tiles;ENSG00000198947;;130; --- Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46,1 control Pair,-0.38987145461174694,2.783762763911006,0.7102941872640749,0.7976514238818696,0.4774569432405276,1.9681707064417964,0.4328485937792868,0.8732004128232944,0.620657147827128,0.6348057946848689,0.5819900059058747,0.7964466438638104,836,608,469,492,214,243,643,24,595,5,184,60,1.665966568793788e-5,2.8563682283343176e-5,2.7938137457899937e-5,1.6350084826034598e-5,2.1428759538176185e-5,1.7327169329512704e-5,2.1828770978747433e-5,4.1478028051590375e-6,1.707566372961424e-5,9.405957357151724e-6,1.539104719514058e-5,4.428424046401617e-6,0.20388998463506133,1.6306098535757667,1.3392324468529355,DMD_control_tiles;ENSG00000198947;;130;,Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46,DMD,Dystrophin,Control,ABL1,Non-receptor tyrosine kinase,NucDom Act,-1.0824935906394701,1.1669091568625771,1.0223775622802986,1.6259180419747101,0.2667620245419775,0.9686417587037139,Control,-1.1027223445843624,0.8442560375878934,1.8874183363328272,0.6105056133625522,0.6173506211712967,0.677635081943582,Activator,C-A,Activator,DMD_control_tiles;ENSG00000198947;;130;,ABL1,NucDom Act,C-H,-1.1027223445843624,1.8874183363328272,0.6173506211712967
Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46 --- DMD_control_tiles;ENSG00000198947;;130;,1 control Pair,-2.655492994878047,3.1704813175020283,1.0438643949262307,-0.9441580271704032,1.0557230964613222,0.9367445340947862,0.1369747339689083,0.9000346994491496,0.6733886373172994,0.3419895853485309,0.6751938929345341,0.6568531150289092,199,1093,591,559,257,319,736,33,595,19,148,161,3.965638124281863e-6,5.134885647318108e-5,3.520562737232167e-5,1.8576620767791344e-5,2.5734538323884484e-5,2.2746366321459063e-5,2.498596491502039e-5,5.703228857093676e-6,1.707566372961424e-5,3.574263795717656e-5,1.2379755352613072e-5,1.188293785784434e-5,-1.799825511024225,2.1131022069816754,0.9903044645105084,Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46,DMD_control_tiles;ENSG00000198947;;130;,ABL1,Non-receptor tyrosine kinase,NucDom Act,DMD,Dystrophin,Control,-1.1027223445843624,0.8442560375878934,1.8874183363328272,0.6105056133625522,0.6173506211712967,0.677635081943582,Activator,-1.0824935906394701,1.1669091568625771,1.0223775622802986,1.6259180419747101,0.2667620245419775,0.9686417587037139,Control,A-C,Activator,DMD_control_tiles;ENSG00000198947;;130;,ABL1,NucDom Act,H-C,-1.1027223445843624,1.8874183363328272,0.6173506211712967
DMD_control_tiles;ENSG00000198947;;131; --- Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46,1 control Pair,1.358201482921256,1.6635765146171,-0.3097216181122039,0.5102842690822897,0.06296324696529366,1.228364388591636,0.7193891325276536,0.7600773036921908,0.4465345218129684,0.5875150402936722,0.5109089678129626,0.7008685646590879,4494,1247,536,2822,274,827,1029,107,1379,35,314,341,8.955566698755123e-5,5.8583736525212074e-5,3.192929995188564e-5,9.378036459160495e-5,2.7436822960094744e-5,5.896941989920579e-5,3.493282323037498e-5,1.849228750633404e-5,3.9575361820400064e-5,6.584170150006208e-5,2.6265156626489895e-5,2.5168209997049193e-5,0.9342428760017728,0.8632698807911968,0.4593213852397161,DMD_control_tiles;ENSG00000198947;;131;,Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46,DMD,Dystrophin,Control,ABL1,Non-receptor tyrosine kinase,NucDom Act,-0.6253140374813307,1.8433580970642491,0.186653940282749,1.6897052255789768,0.17492552064316244,0.8126013638877545,Control,-1.1027223445843624,0.8442560375878934,1.8874183363328272,0.6105056133625522,0.6173506211712967,0.677635081943582,Activator,C-A,Activator,DMD_control_tiles;ENSG00000198947;;131;,ABL1,NucDom Act,C-H,-1.1027223445843624,1.8874183363328272,0.6173506211712967
Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46 --- DMD_control_tiles;ENSG00000198947;;131;,1 control Pair,1.8083509513216864,1.732981720644757,0.36802949128444234,0.5120492611428008,0.40291608806757145,-0.4394946806703998,0.7778970824026916,0.7687402135872384,0.5634310407416719,0.5878114884638488,0.5693697344028267,0.4244249342023704,5179,1284,600,1776,296,374,868,105,965,22,268,490,1.0320623038017976e-4,6.032198692732342e-5,3.574175367748393e-5,5.9019818396417575e-5,2.9639779548131547e-5,2.6668153618262353e-5,2.9467143405214266e-5,1.814663727257079e-5,2.769414369592898e-5,4.138621237146759e-5,2.2417394827704753e-5,3.616546304561321e-5,1.1602001062322436,1.0679489043561643,-0.03573259469297873,Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46,DMD_control_tiles;ENSG00000198947;;131;,ABL1,Non-receptor tyrosine kinase,NucDom Act,DMD,Dystrophin,Control,-1.1027223445843624,0.8442560375878934,1.8874183363328272,0.6105056133625522,0.6173506211712967,0.677635081943582,Activator,-0.6253140374813307,1.8433580970642491,0.186653940282749,1.6897052255789768,0.17492552064316244,0.8126013638877545,Control,A-C,Activator,DMD_control_tiles;ENSG00000198947;;131;,ABL1,NucDom Act,H-C,-1.1027223445843624,1.8874183363328272,0.6173506211712967
DMD_control_tiles;ENSG00000198947;;171; --- Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46,1 control Pair,-2.0053698749822866,2.46464062250438,0.3082537920068104,-0.6731878670653256,2.8373723443735304,0.7598046286954092,0.19940512674992136,0.846623278695969,0.5532140180005352,0.3854169649385083,0.8772580105853408,0.6287029417480845,583,1990,893,710,806,1148,1374,98,1497,20,135,655,1.161792475606194e-5,9.348968378923178e-5,5.319564338998858e-5,2.3594634606675943e-5,8.070831863443928e-5,8.185839666782134e-5,4.664499428429078e-5,1.69368614543994e-5,4.296179597181936e-5,3.76238294286069e-5,1.1292344409478142e-5,4.834362917321766e-5,-1.3392788710238062,2.6510064834389553,0.5340292103511098,DMD_control_tiles;ENSG00000198947;;171;,Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46,DMD,Dystrophin,Control,ABL1,Non-receptor tyrosine kinase,NucDom Act,-1.1898968669051047,1.4067056189843583,0.12790933398625176,1.8763235321755443,-0.09258047147934972,1.0065252054082343,Control,-1.1027223445843624,0.8442560375878934,1.8874183363328272,0.6105056133625522,0.6173506211712967,0.677635081943582,Activator,C-A,Activator,DMD_control_tiles;ENSG00000198947;;171;,ABL1,NucDom Act,C-H,-1.1027223445843624,1.8874183363328272,0.6173506211712967
Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46 --- DMD_control_tiles;ENSG00000198947;;171;,1 control Pair,-1.994228798523963,2.413579500416423,1.3755240278313663,-2.1726810255971327,0.5750537386243235,-0.00668247966358023,0.2006408149045318,0.8419708422510037,0.7218065841322479,0.181534173156494,0.598350498245978,0.4988420165858762,251,490,245,113,112,68,587,25,196,9,90,66,5.001885272335415e-6,2.3020072892825917e-5,1.4594549418305937e-5,3.755202409231523e-6,1.121505172091464e-5,4.848755203320428e-6,1.992766495260458e-5,4.320627922040664e-6,5.624924522696456e-6,1.6930723242873108e-5,7.528229606318761e-6,4.87126645104178e-6,-2.0834549120605477,1.4943166195203732,0.6844207740838931,Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46,DMD_control_tiles;ENSG00000198947;;171;,ABL1,Non-receptor tyrosine kinase,NucDom Act,DMD,Dystrophin,Control,-1.1027223445843624,0.8442560375878934,1.8874183363328272,0.6105056133625522,0.6173506211712967,0.677635081943582,Activator,-1.1898968669051047,1.4067056189843583,0.12790933398625176,1.8763235321755443,-0.09258047147934972,1.0065252054082343,Control,A-C,Activator,DMD_control_tiles;ENSG00000198947;;171;,ABL1,NucDom Act,H-C,-1.1027223445843624,1.8874183363328272,0.6173506211712967
Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46 --- DMD_control_tiles;ENSG00000198947;;176;,1 control Pair,-1.909819467713138,2.2907227526308893,0.5028025722014926,-1.6120382040713894,2.120277124294266,0.6176734593576629,0.210189094782856,0.8303074829441282,0.5862577115320978,0.2464976389978906,0.8130063271463359,0.605429099842012,627,1890,413,500,592,378,1383,105,605,27,163,238,1.2494749265953409e-5,8.87917097294714e-5,2.4602240448001437e-5,1.66159398638563e-5,5.9279559096263094e-5,2.6953374512575317e-05,4.695052918134946e-5,1.814663727257079e-5,1.7362649674649775e-5,5.079216972861932e-5,1.3634460286999532e-5,1.7566082050726416e-5,-1.7609288358922637,2.2054999384625775,0.5602380157795778,Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46,DMD_control_tiles;ENSG00000198947;;176;,ABL1,Non-receptor tyrosine kinase,NucDom Act,DMD,Dystrophin,Control,-1.1027223445843624,0.8442560375878934,1.8874183363328272,0.6105056133625522,0.6173506211712967,0.677635081943582,Activator,-1.172235300558768,1.5101404768789752,0.3992366741082033,1.9308518209506782,0.26522491290658756,0.9732676994777376,Control,A-C,Activator,DMD_control_tiles;ENSG00000198947;;176;,ABL1,NucDom Act,H-C,-1.1027223445843624,1.8874183363328272,0.6173506211712967
DMD_control_tiles;ENSG00000198947;;176; --- Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46,1 control Pair,-0.9573000087764576,2.088229888732146,-0.19475102956225085,-0.7091928205208196,1.3184456019499622,2.602325495024227,0.33994264915615674,0.8096057779427192,0.46630337272848266,0.3795226072103619,0.7137928309719418,0.8586102193420488,787,657,181,277,275,352,897,42,430,8,132,56,1.5683202029195106e-5,3.086568957262577e-5,1.0782095692707652e-5,9.20523068457639e-6,2.753695735046005e-5,2.509943869954104e-5,3.04516447401811e-5,7.258654909028315e-6,1.234039563652794e-5,1.5049531771442762e-5,1.104140342260085e-5,4.13319577664151e-6,-0.8332464146486386,1.703337745341054,1.203787232730988,DMD_control_tiles;ENSG00000198947;;176;,Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46,DMD,Dystrophin,Control,ABL1,Non-receptor tyrosine kinase,NucDom Act,-1.172235300558768,1.5101404768789752,0.3992366741082033,1.9308518209506782,0.26522491290658756,0.9732676994777376,Control,-1.1027223445843624,0.8442560375878934,1.8874183363328272,0.6105056133625522,0.6173506211712967,0.677635081943582,Activator,C-A,Activator,DMD_control_tiles;ENSG00000198947;;176;,ABL1,NucDom Act,C-H,-1.1027223445843624,1.8874183363328272,0.6173506211712967
Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46 --- DMD_control_tiles;ENSG00000198947;;182;,1 control Pair,-1.777893523944019,2.120797751188577,-2.2646281931799392,-0.9256945609952084,1.2728487355098517,-0.22714745242891363,0.22577180421009577,0.8130611831088572,0.17225621934228413,0.3448753275107716,0.7072927130111362,0.4607194576491183,462,384,39,149,109,107,930,24,389,5,54,121,9.206657353860406e-6,1.8040220389479903e-5,2.3232139890364553e-6,4.951550079429177e-6,1.0914648549818712e-5,7.62965892287185e-6,3.157193936272957e-5,4.1478028051590375e-6,1.1163753261882251e-5,9.405957357151724e-6,4.516937763791256e-6,8.930655160243263e-6,-1.3517940424696138,1.6968232433492143,-1.2458878228044263,Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46,DMD_control_tiles;ENSG00000198947;;182;,ABL1,Non-receptor tyrosine kinase,NucDom Act,DMD,Dystrophin,Control,-1.1027223445843624,0.8442560375878934,1.8874183363328272,0.6105056133625522,0.6173506211712967,0.677635081943582,Activator,-1.5428431744782019,1.6056364381562986,0.8762928943141503,2.0056948135417882,-0.553527274281152,1.5334072129174576,Control,A-C,Activator,DMD_control_tiles;ENSG00000198947;;182;,ABL1,NucDom Act,H-C,-1.1027223445843624,1.8874183363328272,0.6173506211712967
DMD_control_tiles;ENSG00000198947;;182; --- Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46,1 control Pair,-4.473612005576145,2.8603372890186094,-4.206931617279214,-0.9539409987200178,4.55233366212424,NA,0.04307131872875555,0.8789617454571169,0.05136715927846865,0.3404652688480725,0.959122430539465,NA,48,374,9,263,196,NA,626,14,345,9,10,NA,9.565358289725097e-7,1.7570422983503864e-5,5.36126305162259e-7,8.739984368388414e-6,1.962634051160062e-5,NA,2.1251649506525495e-5,2.419551636342772e-6,9.901015103725905e-6,1.6930723242873108e-5,8.364699562576401e-7,NA,-2.7137765021480815,3.7063354755714246,NA,DMD_control_tiles;ENSG00000198947;;182;,Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46,DMD,Dystrophin,Control,ABL1,Non-receptor tyrosine kinase,NucDom Act,-1.5428431744782019,1.6056364381562986,0.8762928943141503,2.0056948135417882,-0.553527274281152,1.5334072129174576,Control,-1.1027223445843624,0.8442560375878934,1.8874183363328272,0.6105056133625522,0.6173506211712967,0.677635081943582,Activator,C-A,Activator,DMD_control_tiles;ENSG00000198947;;182;,ABL1,NucDom Act,C-H,-1.1027223445843624,1.8874183363328272,0.6173506211712967
