domain,avg_d2,med_d2,sd_d2,min_d2,max_d2,delta_min_d2,delta_max_d2,avg_d5,med_d5,sd_d5,min_d5,max_d5,delta_min_d5,delta_max_d5,frac_d2,frac_d5,description,act_avg_d2,act_med_d2,act_sd_d2,act_min_d2,act_max_d2,act_delta_min_d2,act_delta_max_d2,rep_avg_d5,rep_med_d5,rep_sd_d5,rep_min_d5,rep_max_d5,rep_delta_min_d5,rep_delta_max_d5,is_activator,is_repressor,baseline_type,prior_type,gene
Short_nuclear_domain;CBX1_HUMAN;Chromo_shadow;104;52,-2.7238952391314144,-2.7960180097496625,0.6882571801463663,-3.8993502285187858,-1.1527750037848432,1.1033322187691232,2.7465752247339426,-2.5815298960106396,-2.6428727016598264,0.9464342132389822,-3.796554274231269,0.5141182967970835,1.1536815725714424,4.310672571028352,0,1,Repressor,NA,NA,NA,Inf,-Inf,NA,-Inf,-2.7363123056510257,-2.7505283715656597,0.642878591283006,-3.796554274231269,-1.4406537664400425,1.0460259026656091,2.355900507791226,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;SUMO3_HUMAN;Rad60-SLD;12;70,-2.559897754736109,-2.672776116962102,0.49969903479566824,-3.213499765271503,-1.414589975027289,0.5407236483094011,1.7989097902442142,-2.594383344759676,-2.608910923450536,1.0579005051431745,-4.673954734678079,0.0734285520836836,2.0650438112275435,4.747383286761763,0,1,Repressor,NA,NA,NA,Inf,-Inf,NA,-Inf,-2.710375166361561,-2.624948149641674,0.9123861157687079,-4.673954734678079,-0.7042402404095838,2.0490065850364054,3.9697144942684957,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;CDYL2_HUMAN;Chromo;1;50,-2.537211221988695,-2.3267462954864815,0.79069682694892,-3.818793530262072,-0.558254666892397,1.4920472347755904,3.260538863369675,-2.876315271686152,-3.2941446945594963,1.2234767873495889,-4.160111081468878,0.8310665069186164,0.8659663869093821,4.991177588387495,0,0.9444444444444444,Repressor,NA,NA,NA,Inf,-Inf,NA,-Inf,-3.0943965527805504,-3.3508492913685513,0.8251527288932937,-4.160111081468878,-0.94776837982854,0.8092617901003272,3.2123427016403383,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;MPP8_HUMAN;Chromo;44;50,-2.639417236168416,-2.695604463101996,0.4481599659605988,-3.269959550639543,-1.850474022206828,0.5743550875375467,1.4194855284327148,-2.2518542611679497,-2.699218052887931,1.6816175983516306,-3.9469559985860383,2.8182103207861817,1.2477379456981073,6.76516631937222,0,0.9411764705882353,Repressor,NA,NA,NA,Inf,-Inf,NA,-Inf,-2.5687332975400827,-2.822486174477923,1.0934121488598485,-3.9469559985860383,-0.6960345381788924,1.1244698241081155,3.250921460407146,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;YAF2_HUMAN;YAF2_RYBP;78;32,-1.8680206315405563,-2.0509696082674607,0.9174636123922028,-2.977202707068701,0.8405928948517318,0.9262330988012404,3.817795601920433,-2.5092257169464616,-2.9961546164616606,1.2680193163886737,-4.032861362224192,0.01598573353226221,1.036706745762531,4.048847095756454,0.07692307692307693,1,Repressor,0.8405928948517318,0.8405928948517318,NA,0.8405928948517318,0.8405928948517318,0,0,-2.6670514326013817,-3.0480189079553313,1.1240027168939917,-4.032861362224192,-0.5330260030516042,0.9848424542688603,3.4998353591725873,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;CREM_HUMAN;bZIP_1;265;45,-2.4534139879495522,-2.2344461198577252,0.9865780396693166,-4.494143109192143,-1.232005667174338,2.2596969893344174,3.2621374420178046,-0.494747473011218,-0.59269666544098,1.2227204698299698,-3.3417923208345637,2.3247740662544754,2.7490956553935835,5.6665663870890395,0,0.8235294117647058,Repressor,NA,NA,NA,Inf,-Inf,NA,-Inf,-0.9713928926011615,-0.781131228004672,0.8468494124410213,-3.3417923208345637,-0.08320195724696866,2.560661092829892,3.258590363587595,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;TOX_HUMAN;HMG_box;255;68,-1.9852185644888602,-1.910216305796543,0.5552474629698444,-3.142213656884143,-0.6590776597054255,1.2319973510876001,2.4831359971787172,-1.0390742815829022,-1.1313505378765056,1.3769794541077025,-3.655460869391263,2.5736810844163425,2.5241103315147573,6.229141953807606,0,0.8695652173913043,Repressor,NA,NA,NA,Inf,-Inf,NA,-Inf,-1.4321585502252745,-1.167669762707543,0.9330272451579442,-3.655460869391263,-0.2111640488104366,2.48779110668372,3.4442968205808264,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;SSX2_HUMAN;SSXRD;108;31,-1.672147583297052,-1.484347131400067,0.8997105317282293,-3.7197437762448207,-0.25101533516435204,2.2353966448447538,3.4687284410804686,-0.3718323099057318,0.04844770905261789,1.3376120168358367,-3.132066338005145,1.9844467681065312,3.1805140470577626,5.116513106111676,0,0.8181818181818182,Repressor,NA,NA,NA,Inf,-Inf,NA,-Inf,-1.4176956722155363,-1.5569936346852646,1.0379292739433166,-3.132066338005145,-0.08277052330270812,1.5750727033198801,3.0492958147024365,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;ASCL1_HUMAN;HLH;105;52,-1.8376846437406682,-1.6964922644275002,1.083974087953272,-3.7957453229673455,0.3631006723492683,2.099253058539845,4.1588459953166135,-0.7621634550730328,-0.6194604437057404,0.8865041939716943,-2.2197668031305327,0.9779871501133952,1.6003063594247924,3.197753953243928,0.05555555555555555,0.9130434782608695,Repressor,0.3631006723492683,0.3631006723492683,NA,0.3631006723492683,0.3631006723492683,0,0,-1.0422792904843086,-0.832971994094482,0.6690976757396898,-2.2197668031305327,-0.10098162911111808,1.3867948090360507,2.118785174019415,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;SCMH1_HUMAN;SAM_1;580;65,-1.7607097471152027,-1.6598486740999747,0.5635355020800971,-3.085768828120865,-0.8738654493591043,1.4259201540208903,2.211903378761761,-1.0084553898446742,-1.222744389690855,1.3010587604054762,-2.953680297900393,2.024803248408259,1.7309359082095381,4.978483546308652,0,0.875,Repressor,NA,NA,NA,Inf,-Inf,NA,-Inf,-1.479050443718343,-1.4797864722874554,0.7410023333995261,-2.953680297900393,-0.07945264518296141,1.4738938256129377,2.8742276527174315,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;JDP2_HUMAN;bZIP_1;61;63,-2.0307528050025483,-2.1916934966941977,0.8585980636025402,-3.172425339175783,-0.673301793405578,0.9807318424815854,2.499123545770205,-1.5530689525036654,-1.8217168796482184,1.2219565316454704,-2.772168538917242,2.066222724309307,0.9504516592690238,4.8383912632265496,0,0.9285714285714286,Repressor,NA,NA,NA,Inf,-Inf,NA,-Inf,-1.8314760045662017,-1.8662077242928108,0.6648560232523861,-2.772168538917242,-0.6769952303372062,0.9059608146244313,2.095173308580036,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72,-2.110132922323101,-2.1801853248208904,0.5685909123015679,-3.178836533424955,-1.010723782524637,0.9986512086040644,2.1681127509003177,-2.9639225077680553,-3.047012817695874,0.7261297358754482,-3.822848786094702,-1.6793066465243012,0.7758359683988276,2.1435421395704006,0,1,Repressor,NA,NA,NA,Inf,-Inf,NA,-Inf,-2.9639225077680553,-3.047012817695874,0.7261297358754482,-3.822848786094702,-1.6793066465243012,0.7758359683988276,2.1435421395704006,FALSE,TRUE,Repressor,Repressor,
