plasmid,date,f_on,mfi
72,2021/11/15,0.0036776724419745016,2011206.8414514547
74,2021/11/15,0.0022346368715083797,1856576.2860335195
75,2021/11/15,0.0025864856126737797,1938274.410604591
76,2021/11/15,0.0020107238605898124,1936725.6193029492
77,2021/11/15,0.0016797312430011197,1970860.1000373273
78,2021/11/15,0.004590480792461948,2039563.4114520415
78,2022/03/03,0.0033744537257288268,2275942.4028323283
79,2021/11/15,0.9380764163372859,266106016.37944663
79,2022/03/03,0.95937044593413,431292717.3801224
79,2022/08/24,0.9300530631934395,362953733.433671
80,2021/11/15,0.6333740997418128,56986164.70281288
80,2022/03/03,0.44355986177925333,40825770.062470354
80,2022/08/24,0.5454705675008812,50286457.435319
81,2021/11/15,0.9234768697506999,260335672.48313558
82,2021/11/15,0.0016436855081727697,1911655.3491005388
83,2021/11/15,0.009719839908519153,1940802.6956356012
84,2021/11/15,0.0016106110847939365,1966744.9451444813
87,2021/11/15,0.0022371364653243847,1877952.1431767337
90,2021/11/15,0.92152466367713,301428263.7819938
90,2022/03/03,0.9217621145374449,385197504.65033776
91,2021/11/15,0.2363235675395385,22699929.22167488
91,2022/03/03,0.13956284153005463,20968778.309945356
91,2022/08/24,0.11847520034654538,16220727.114576565
92,2021/11/15,0.6772024209818427,74897241.79798251
92,2022/03/03,0.5775663206459054,97931028.00461361
93,2021/11/15,0.002642880740006607,1910949.8460521968
94,2021/11/15,0.0008835223089383007,1818216.4582535708
96,2021/11/15,0.0020066100094428708,1962806.9952785647
97,2021/11/15,0.0014749262536873156,1836138.4149459193
98,2021/11/15,0.002259206265532043,1890256.0542209505
99,2021/11/15,0.9098303509179642,156804371.01804942
125,2022/03/03,0.5717401841977703,102905794.69898206
126,2022/03/03,0.8818198546324408,302327120.8817738
127,2022/03/03,0.8441935634983838,144903239.95390454
129,2022/03/03,0.053519453519453516,4028979.990733591
130,2022/03/03,0.0034241549674705277,2397182.973144842
131,2022/03/03,0.005244135780596698,2321802.6764935157
132,2022/03/03,0.004455583402951824,2383512.820569943
133,2022/03/03,0.6216197379425704,49730918.7175913
134,2022/03/03,0.2679256965944272,19953002.188482974
134,2022/08/24,0.32780320366132726,23787450.727688786
135,2022/03/03,0.02734157478561087,3141384.7813787726
136,2022/03/03,0.0032106693010619906,2300829.9056557175
138,2022/03/03,0.0024704125014362865,2317403.642881765
141,2022/03/03,0.004443197231186568,2343906.4260792295
142,2022/03/03,0.17953266983989616,15301825.013587192
144,2022/03/03,0.25010501554230025,10043810.637318322
157,2022/03/03,0.0014723769284936943,2289893.074194994
192,2022/08/24,0.012093479326687367,2522494.8913221112
193,2022/08/24,0.37914976716238546,11384158.793450503
194,2022/08/24,0.012095747389865037,2394157.600203718
196,2022/08/24,0.7316064696582756,221779791.1380275
198,2022/08/24,0.887814053473062,119774332.37135564
199,2022/08/24,0.6976437761587351,80203570.29917842
201,2022/08/24,0.0,2092534.9634977938
202,2022/08/24,0.6774720550300946,89723506.85881342
1260,2021/11/15,0.0032875929102344197,1929321.5688965123
1260,2022/03/03,0.0038178653641008364,2356695.0509235864
1440,2021/11/15,0.8517809832204887,120910286.75183986
1440,2022/03/03,0.8580749211934608,169429585.9365149
2170,2021/11/15,0.001339405304045004,1939596.1725154032
