domain,gene,med_d2,avg_d2,frac_d2,baseline_type,prior_type,Kd,n,Vmin,Vmax
Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41,ZN473,2.695741806930722,2.6712160926896846,1.0,Dual,Activator,-1.709375180869362,13.955434863807138,-1.9384701119321894,2.7738859808124103
Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41,FOXO3,3.143020683825048,2.9646070247708822,0.9583333333333334,Dual,Activator,-1.8561470186168274,15.199713961401757,-1.9028064415723565,2.6843671682175154
Short_nuclear_domain;MYBA_HUMAN;LMSTEN;223;46,MYBA,3.3016961129513733,3.1207649546604745,1.0,Dual,Activator,-1.8447677442431356,16.296124946475068,-2.107297526457594,2.5337412934823824
Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46,NCOA2,2.6902866094206,2.6368211706074662,1.0,Dual,Activator,-1.8581088623420614,10.755703929650137,-1.764243969775149,3.0146179904412795
Short_nuclear_domain;SMCA2_HUMAN;QLQ;150;34,SMCA2,-0.7748959363485284,-0.2933397826110736,0.391304347826087,Dual,Activator,-1.3829113467327305,10.066381209026662,-2.5194713541929157,2.739891249726322
Short_nuclear_domain;KIBRA_HUMAN;WW;1;29,KIBRA,1.3079512422618225,1.0447161770183309,0.782608695652174,Dual,Activator,-1.5490598214874411,9.644593328428105,-2.1016790917231933,2.105909479160202
Short_nuclear_domain;ZN597_HUMAN;KRAB;1;41,ZN597,0.2530504991947861,0.054705324667291,0.5882352941176471,Activator,Activator,-1.519733399128405,3.4624690416986166,-2.7022319284430574,2.898009494956712
Short_nuclear_domain;APBB1_HUMAN;WW;229;28,APBB1,-0.2183435152154249,-0.0113906298417162,0.4782608695652174,Activator,Activator,-1.3008990500089745,7.211065488186847,-2.3482145291291223,2.7260369089132217
Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45,ANM2,0.160276001006615,0.3211879818599586,0.5833333333333334,Activator,Activator,-1.2940028773985177,9.624619067099234,-2.1540907393373554,3.689792969913378
Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,CRTC2,0.9363751241522348,0.718069307912185,0.625,Activator,Activator,-1.457457806589401,9.127374075331362,-2.3508990382943202,2.857395698392021
Short_nuclear_domain;NOTC2_HUMAN;Notch;1440;34,NOTC2,0.0649831054226829,0.0047967299817672,0.5652173913043478,Dual,Activator,-1.3947373667120757,5.03469215823167,-2.667287005183808,2.339383324661319
Short_nuclear_domain;IKKA_HUMAN;IKKbetaNEMObind;665;36,IKKA,-0.6938799196211222,-0.487735839915866,0.3478260869565217,Activator,Activator,-1.3348821571997798,10.377896202082656,-2.3295478979387894,2.4520097211807554
Short_nuclear_domain;APC16_HUMAN;ANAPC16;26;79,APC16,-0.4424791770600436,-0.4338868107397333,0.2916666666666667,Activator,Activator,-1.2759430523734792,8.627135507500476,-2.353003587913894,3.1415747904870095
Short_nuclear_domain;STAT2_HUMAN;STAT2_C;770;55,STAT2,-0.8392562757513198,-0.6629532197073206,0.217391304347826,Dual,Activator,-1.2453420093756564,12.112079620339124,-2.1236003353332573,2.3813668955529823
Short_nuclear_domain;WBP4_HUMAN;WW;139;29,WBP4,-0.9083399591645692,-0.730042747891793,0.2608695652173913,Activator,Activator,-1.21895935655273,9.325143518338955,-2.4489441708073403,2.6965555858113803
Short_nuclear_domain;BTK_HUMAN;SH3_1;203;46,BTK,-0.987085519369282,-0.6820620700848529,0.2727272727272727,Activator,Activator,-1.2223284774552994,12.02255774230746,-1.3697793965063791,2.8326062625345303
Silencer_tiles;ENSG00000179833;22,SERTAD2,2.9795899566834105,2.932315587033915,1.0,Dual,Repressor,-1.7395807802278256,16.40745391044065,-1.6754812348283106,2.807883775340868
