plasmid,date,description,bprime,lambda,sigma_on,sigma_off,mu_off
59,2021-11-15,ZIK1 KRAB + Rand Ctrl 89,0.05954018388658167,1.000000001352842e-05,4.999999999995809,0.15923872017590146,6.263722947113462
61,2021-11-15,KMT2C Dual + FOXO3 TAD,0.4240676659722364,247.42981312896092,0.6162321818322952,0.18515604452488948,6.2684675933478164
63,2021-11-15,KMT2D Dual + ZNF10 KRAB,0.06257321120406012,1.0000000000086722e-05,4.99999999999995,0.15088537847269393,6.25757873827001
65,2021-11-15,KMT2D Dual + Rand Ctrl 89,0.0510233776808915,1.0000043826187273e-05,4.99999999995077,0.1533858908098365,6.276199520782346
66,2021-11-15,NCOA1 Dual + ZNF10 KRAB,0.05704589494501112,1.0000000000009852e-05,4.999999999999999,0.1390429919380922,6.2505149633644
67,2021-11-15,NCOA1 Dual + FOXO3 TAD,0.4557990939913778,138.61336391119548,0.5890579887760505,0.1782893316990017,6.326347446726225
68,2021-11-15,NCOA1 Dual + Rand Ctrl 89,0.07568001190628576,1.0000000000000003e-05,1.083890916759005,0.1462976466354738,6.257125188157487
69,2021-11-15,NCOA2 Rep + FOXO3 TAD,0.11078877547155026,1.0000000000000003e-05,0.6450225533714186,0.15256329239537347,6.265674248511308
72,2021-11-15,Rand Ctrl + Rand Ctrl 89,0.0667905356017076,1.0000000000035818e-05,4.999999999999523,0.14829652536520815,6.266115896664851
74,2021-11-15,DMD - DMD,0.05984097500518558,1.0000000000777643e-05,3.6402368234629474,0.14885047563533627,6.244697959299374
75,2021-11-15,DMD - RANDCTRL,0.06428819111187119,1.0000000000260341e-05,4.99999999999997,0.1525242472060889,6.254027915577925
76,2021-11-15,ZNF10 - ANM2,0.06024175519897697,1.0000000001555812e-05,4.147663074107398,0.14580656338419376,6.259860896098525
77,2021-11-15,ZNF10 - CBX1,0.10302823772125319,1.0000000000000003e-05,0.6696841299419507,0.15253655219391718,6.259854506433817
78,2021-11-15,RANDCTRL - RANDCTRL,0.0771079322345368,1.0000000000000003e-05,1.9648300242972203,0.14811062271777944,6.262694625464486
78,2022-03-03,Ctrl - Ctrl,0.0960090113052335,1.0000000013481514e-05,0.29336164722154867,0.12702173576301384,6.30916099532851
79,2021-11-15,ANM2 - KIBRA,0.5241809215019363,976.1139327576793,0.820484005027251,0.24725768122208588,6.26577282470377
79,2022-03-03,ANM2 - KIBRA,0.8144929342510627,1234.502997060687,0.5025372313690242,0.49354240245058373,7.499999999999999
80,2021-11-15,BIN1 - FOXO3,0.4161034638990964,713.7020288890773,0.5850903034485883,0.23259879785290416,6.269142357452002
