description,plasmid,ks,tlag,character,Citrine On,character_map
DMD - RANDCTRL,75,0.0030954814601095344,2.9999999988192543,Control,0.0025864856126737,C-C
RANDCTRL - RANDCTRL,78,0.008454280810310844,2.5278217315444445,Control,0.0045904807924619,C-C
CHD4 - CDYL2,98,2.502210871182841,2.2204834190411122,Repressor,0.002259206265532,"C-R, R-C, R-R"
CREM - MPP8,82,2.3517573298233327,2.6301324809623905,Repressor,0.0016436855081727,"C-R, R-C, R-R"
MPP8 - ZNF791,87,3.4936950217810954,2.625386277805795,Repressor,0.0022371364653243,"C-R, R-C, R-R"
SUMO3 - SSX2,93,2.42112066421041,2.6064833913532803,Repressor,0.0026428807400066,"C-R, R-C, R-R"
YAF2 - ZNF791,94,3.055362211635458,2.470985655001326,Repressor,0.0008835223089383,"C-R, R-C, R-R"
ZNF10 - CBX1,77,2.530232068030565,2.5628658423649457,Repressor,0.0016797312430011,"C-R, R-C, R-R"
CACO1 - ANM2,81,0.027147502418052655,2.785228452940736,Both,0.9234768697507,"A-R, R-A"
ZNF10 - ANM2,76,3.0065486048266394,2.6281348587729974,Both,0.0020107238605898,"A-R, R-A"
ANM2 - KIBRA,79,0.016792280445132556,0.9168986580959282,Other,0.938076416337286,Other
ATRX - HERC2,96,1.5587113098491645,2.4304629731253993,Other,0.0020066100094428,Other
BIN1 - FOXO3,80,0.8864345913944788,2.476506750234726,Other,0.6333740997418128,Other
DPF1 - HSF2,83,0.30479766261730235,2.4575882192475373,Other,0.0097198399085191,Other
DPY30 - HXA13,84,0.046714349849388534,1.2987105718538436,Other,0.0016106110847939,Other
NOTC2 - ANM2,90,0.06779300078738454,2.8452878022513257,Other,0.92152466367713,Other
NOTC2 - KIBRA,91,0.6748417933408023,2.490339492735099,Other,0.2363235675395385,Other
SCML2 - NOTC2,97,1.8165931113858071,2.500602182498895,Other,0.0014749262536873,Other
SMCA2 - U2AF4,92,0.16633903182320992,2.1889195257355114,Control,0.6772024209818427,C-C
SMN2 - FOXO3,99,0.09078527786966507,2.062186053480088,Other,0.9098303509179642,Other
