plasmid,description,day,asv,replicate,norm Citrine Off
56,STaPL-only,0.0,0.0,1.0,0.04630527023580418
56,STaPL-only,0.0,0.0,2.0,0.02621756526441469
56,STaPL-only,0.0,1.0,1.0,0.00218398051149746
56,STaPL-only,0.0,1.0,2.0,0.010918248780462894
56,STaPL-only,1.0,0.0,1.0,0.006597156437500777
56,STaPL-only,1.0,0.0,2.0,0.010981882439498743
56,STaPL-only,1.0,1.0,1.0,0.0003197002418990494
56,STaPL-only,1.0,1.0,2.0,0.01741005856702926
56,STaPL-only,2.0,0.0,1.0,-0.0008853848261905342
56,STaPL-only,2.0,0.0,2.0,-0.017891879142173876
56,STaPL-only,2.0,1.0,1.0,0.006814216707010489
56,STaPL-only,2.0,1.0,2.0,0.0065228579900047535
56,STaPL-only,3.0,0.0,1.0,-0.005656906817873316
56,STaPL-only,3.0,0.0,2.0,-0.007565587288450228
56,STaPL-only,3.0,1.0,1.0,0.01721008411481454
56,STaPL-only,3.0,1.0,2.0,0.028806412873572915
56,STaPL-only,4.0,0.0,1.0,-0.0022561471488710084
56,STaPL-only,4.0,0.0,2.0,-0.010199858624899786
56,STaPL-only,4.0,1.0,1.0,0.05293100864078406
56,STaPL-only,4.0,1.0,2.0,0.02407252078676652
56,STaPL-only,5.0,0.0,1.0,-0.010063483023117556
56,STaPL-only,5.0,0.0,2.0,-0.014754372848168055
56,STaPL-only,5.0,1.0,1.0,0.05526822676974039
56,STaPL-only,5.0,1.0,2.0,0.04672108720466544
73,FOXO3-STaPL-ZNF10,0.0,0.0,1.0,0.013532103249273725
73,FOXO3-STaPL-ZNF10,0.0,0.0,2.0,0.019494514297996236
73,FOXO3-STaPL-ZNF10,0.0,1.0,1.0,0.0026459542505974268
73,FOXO3-STaPL-ZNF10,0.0,1.0,2.0,-0.0040257390336084775
73,FOXO3-STaPL-ZNF10,1.0,0.0,1.0,0.01715141505818718
73,FOXO3-STaPL-ZNF10,1.0,0.0,2.0,0.010668050376415888
73,FOXO3-STaPL-ZNF10,1.0,1.0,1.0,0.08640977028469343
73,FOXO3-STaPL-ZNF10,1.0,1.0,2.0,0.08457948565187162
73,FOXO3-STaPL-ZNF10,2.0,0.0,1.0,0.16350545315577497
73,FOXO3-STaPL-ZNF10,2.0,0.0,2.0,0.14527984292054175
73,FOXO3-STaPL-ZNF10,2.0,1.0,1.0,0.41237244451117283
73,FOXO3-STaPL-ZNF10,2.0,1.0,2.0,0.4584182207595466
73,FOXO3-STaPL-ZNF10,3.0,0.0,1.0,0.28698251051582907
73,FOXO3-STaPL-ZNF10,3.0,0.0,2.0,0.2835211494968831
73,FOXO3-STaPL-ZNF10,3.0,1.0,1.0,0.9765435523536624
73,FOXO3-STaPL-ZNF10,3.0,1.0,2.0,0.9835536884190987
