domain,gene,med_d5,m,b
Short_nuclear_domain;CBX1_HUMAN;Chromo_shadow;104;52,,-2.6428727016598264,0.11175361588831123,-2.3257253493856425
Short_nuclear_domain;SUMO3_HUMAN;Rad60-SLD;12;70,,-2.608910923450536,0.07936734680998114,-2.471962964834443
Short_nuclear_domain;CDYL2_HUMAN;Chromo;1;50,,-3.2941446945594963,0.20206255739967105,-2.6783373602993876
Short_nuclear_domain;MPP8_HUMAN;Chromo;44;50,,-2.699218052887931,0.29120608186214625,-2.2604846907821177
Short_nuclear_domain;YAF2_HUMAN;YAF2_RYBP;78;32,,-2.9961546164616606,0.14307245882399044,-2.2594223198574355
Short_nuclear_domain;CREM_HUMAN;bZIP_1;265;45,,-0.59269666544098,0.780000054472243,-0.23613963535769145
Short_nuclear_domain;TOX_HUMAN;HMG_box;255;68,,-1.1313505378765056,0.5883503618777226,-1.297647585144503
Short_nuclear_domain;SSX2_HUMAN;SSXRD;108;31,,0.0484477090526178,0.2499085642475336,-0.47127767982208724
Short_nuclear_domain;ASCL1_HUMAN;HLH;105;52,,-0.6194604437057404,0.22294120562589725,-1.0061562839889646
Short_nuclear_domain;SCMH1_HUMAN;SAM_1;580;65,,-1.222744389690855,0.46143659078915533,-1.1465108816337377
Short_nuclear_domain;JDP2_HUMAN;bZIP_1;61;63,,-1.8217168796482184,0.2271288917041403,-1.0498253627925394
Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72,,-3.047012817695874,0.19638181147732325,-2.1881272002710297
Short_nuclear_domain;ATF1_HUMAN;bZIP_1;191;59,,-0.6085518904096912,0.6297807687020871,-1.07495330359054
Short_nuclear_domain;ID2_HUMAN;HLH;15;41,,-0.8844178601157817,0.4401323662766963,-1.6383159251229351
Short_nuclear_domain;TERF1_HUMAN;Myb_DNA-binding;359;48,,0.8506345467672389,0.7652002911871136,0.035535698659213466
Short_nuclear_domain;GSX1_HUMAN;Homeodomain;136;56,,0.7846761969604958,0.5240488971211441,0.7999259508611765
Short_nuclear_domain;KMT2B_HUMAN;zf-CXXC;941;47,,0.0886098067975048,0.37303802218536575,-0.13768317389804352
Short_nuclear_domain;HXA13_HUMAN;Homeodomain;308;56,,0.2669245003836227,0.26705197184455187,0.4919076646639873
Short_nuclear_domain;PCGF2_HUMAN;zf-C3HC4_2;1;39,,-0.7694072778332963,0.5529907971642167,-1.2331999490153258
Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63,,0.951345007589186,0.8731283110393839,-0.39771007313327544
Short_nuclear_domain;CHD3_HUMAN;DUF1087;1286;60,,0.983405392893491,0.9126742416348463,-0.05728365013287018
Short_nuclear_domain;ZN777_HUMAN;DUF3669;181;67,,-0.3311167800927218,0.4719516604106566,-0.9928355435717187
Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41,,0.7748465990353077,0.6440107793092729,-0.4898872074094349
Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41,,0.1147454253700622,0.5036759025050372,-0.7386624933549832
Short_nuclear_domain;MYBA_HUMAN;LMSTEN;223;46,,0.1972384987977167,0.5007543231379898,-0.7600554579425491
Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46,,0.4176975641671179,0.5233322598403518,-0.6267217105171454
Short_nuclear_domain;SMCA2_HUMAN;QLQ;150;34,,0.996898476719022,0.7062492196614478,-0.2408704550260019
Short_nuclear_domain;KIBRA_HUMAN;WW;1;29,,1.09835638222899,0.6379264127520514,-0.406933329957198
Short_nuclear_domain;NOTC2_HUMAN;Notch;1440;34,,1.0629888506424752,0.6690051794685274,-0.5289237416905337
Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26,,1.3401963749168406,0.6448666702465644,-0.34533188790581093
Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40,,1.2167787360395923,0.706393154370943,-0.5371098006619874
Short_nuclear_domain;STAT2_HUMAN;STAT2_C;770;55,,1.379402066403864,0.7234133469942137,-0.42850486568746504
Silencer_tiles;ENSG00000069812;10,,-0.7910549392077957,0.502720155675263,-1.076053707183128
Silencer_tiles;ENSG00000130706;26,,1.815346853526321,0.8435886831711947,0.1650427253371518
Silencer_tiles;ENSG00000102974;12,,-2.395042760802053,0.2522101667353418,-1.876296484669428
Silencer_tiles;ENSG00000179833;22,,0.3532086821854414,0.5831664378267263,-0.570927288833186
Silencer_tiles;ENSG00000084093;101,,-1.5159392096008568,0.3901574816846711,-1.6104003923120196
Silencer_tiles;ENSG00000168769;132,,2.0386006742492504,0.9716526319305672,0.1536395620280473
Silencer_tiles;ENSG00000025156;13,,-2.1065850638294346,0.22751464369683205,-1.8106356541993698
Silencer_tiles;ENSG00000076108;118,,-1.7597752112595502,0.5058567444622817,-1.472036298941802
Silencer_tiles;ENSG00000085224;242,,1.8777412598453265,1.055076441994835,-0.10974789659218231
Silencer_tiles;ENSG00000170604;0,,-1.162358722589616,0.3301521243493326,-1.2767382213253384
Silencer_tiles;ENSG00000111642;38,,-2.307035288946272,0.2574723864843875,-2.1412658695513933
Silencer_tiles;ENSG00000127124;78,,-1.6724548194142923,0.4738802212903295,-1.3619324363682566
Silencer_tiles;ENSG00000102098;62,,-0.9036315275671132,0.4510923150794781,-1.2961456961714504
Silencer_tiles;ENSG00000205571;13,,2.405031294608415,1.0116575307472715,0.9291993051588854
Silencer_tiles;ENSG00000100307;18,,-2.4474022186106863,0.3257503674369353,-1.7741435766321416
Silencer_tiles;ENSG00000088305;10,,1.517932204321239,0.9139239434769983,-0.18781220140485289
Human_KRAB_variant;M0QYP0;367,,-2.908213916146545,-0.025015295225344403,-2.5904085276039517
Human_KRAB_variant;P21506;146,,-3.120449320576521,-0.008066602241928678,-3.0226304164785986
Human_KRAB_variant;Q3KP31;676,,-3.007482074892096,0.004984357081333712,-2.8976895026173324
NIZP1_C2HR,,1.5505738069550687,0.787204078861869,-0.23496441558486936
